,dataset,factors,n_cluster,linkage,silhouette_score,n_elements,eveness
41,df_datos_std_clus,"['F1', 'F3']",4,complete,0.44663181092649945,"{0: 58, 1: 11, 2: 1, 3: 1}",0.414192957481852
42,df_datos_std_clus,"['F1', 'F3']",4,average,0.4698920915027215,"{1: 50, 0: 19, 2: 1, 3: 1}",0.5192155862018879
43,df_datos_std_clus,"['F1', 'F3']",4,single,0.34833264593117697,"{0: 68, 2: 1, 3: 1, 1: 1}",0.15975050901274193
44,df_datos_std_clus,"['F1', 'F3']",5,ward,0.3661369806845719,"{1: 27, 2: 19, 4: 15, 3: 8, 0: 2}",0.8670313817622839
45,df_datos_std_clus,"['F1', 'F3']",5,complete,0.45731564485875625,"{1: 47, 0: 11, 4: 11, 2: 1, 3: 1}",0.60330430222303
46,df_datos_std_clus,"['F1', 'F3']",5,average,0.46845079674744416,"{4: 50, 1: 10, 0: 9, 2: 1, 3: 1}",0.5622490353352325
47,df_datos_std_clus,"['F1', 'F3']",5,single,0.22745410344751898,"{0: 67, 2: 1, 4: 1, 3: 1, 1: 1}",0.18321387026212296
48,df_datos_std_clus,"['F1', 'F3']",6,ward,0.3633503159490786,"{1: 27, 0: 19, 4: 15, 3: 8, 5: 1, 2: 1}",0.7897033469452129
49,df_datos_std_clus,"['F1', 'F3']",6,complete,0.3883961763410116,"{0: 47, 1: 11, 4: 8, 2: 3, 5: 1, 3: 1}",0.5925807713230283
50,df_datos_std_clus,"['F1', 'F3']",6,average,0.44927226600382875,"{1: 50, 0: 10, 4: 8, 5: 1, 3: 1, 2: 1}",0.5297156694258309
51,df_datos_std_clus,"['F1', 'F3']",6,single,0.3163997841799964,"{0: 62, 2: 5, 5: 1, 4: 1, 3: 1, 1: 1}",0.30437270353419243
52,df_datos_std_clus,"['F1', 'F3']",7,ward,0.36037192631015486,"{0: 27, 1: 15, 2: 11, 4: 8, 3: 8, 5: 1, 6: 1}",0.8207463926521258
53,df_datos_std_clus,"['F1', 'F3']",7,complete,0.30326813593279417,"{0: 27, 2: 20, 1: 11, 4: 8, 6: 3, 5: 1, 3: 1}",0.777649886147619
54,df_datos_std_clus,"['F1', 'F3']",7,average,0.3776597290750267,"{0: 50, 1: 8, 4: 7, 2: 3, 5: 1, 3: 1, 6: 1}",0.531967158317298
55,df_datos_std_clus,"['F1', 'F3']",7,single,0.2371706133464214,"{0: 61, 2: 5, 5: 1, 4: 1, 3: 1, 1: 1, 6: 1}",0.3173125100389015
56,df_datos_std_clus,"['F1', 'F3']",8,ward,0.3638092046917282,"{4: 20, 0: 15, 2: 11, 1: 8, 3: 8, 7: 7, 5: 1, 6: 1}",0.8726990253218024
57,df_datos_std_clus,"['F1', 'F3']",8,complete,0.3364232010239019,"{4: 20, 2: 20, 0: 11, 1: 8, 3: 7, 6: 3, 5: 1, 7: 1}",0.8323699621021643
58,df_datos_std_clus,"['F1', 'F3']",8,average,0.3439961007269325,"{0: 39, 3: 11, 1: 8, 4: 7, 2: 3, 5: 1, 7: 1, 6: 1}",0.6762499492376891
59,df_datos_std_clus,"['F1', 'F3']",8,single,0.3219328268523641,"{0: 54, 1: 7, 2: 5, 5: 1, 4: 1, 7: 1, 3: 1, 6: 1}",0.44416429783645583
60,df_datos_std_clus,"['F1', 'F3']",9,ward,0.36441383643028324,"{4: 20, 3: 12, 2: 11, 0: 8, 1: 8, 7: 7, 8: 3, 5: 1, 6: 1}",0.8740323808138694
61,df_datos_std_clus,"['F1', 'F3']",9,complete,0.32721764908754836,"{4: 20, 2: 20, 1: 10, 0: 8, 3: 7, 6: 3, 5: 1, 7: 1, 8: 1}",0.8092308075491144
62,df_datos_std_clus,"['F1', 'F3']",9,average,0.3492336128038898,"{4: 30, 8: 11, 3: 9, 0: 8, 1: 7, 2: 3, 5: 1, 7: 1, 6: 1}",0.7750478068699629
63,df_datos_std_clus,"['F1', 'F3']",9,single,0.3412082633264077,"{1: 52, 3: 7, 0: 5, 2: 2, 5: 1, 4: 1, 7: 1, 8: 1, 6: 1}",0.4751880994385029
